id,Staging Area Name,Status,"Address, landmark, or google maps link",Walk Zone (I_# or WH_#),Time of day,Date confirmed/spotted,Notes,latitude,longitude
1,Dyckman Marina,Suspected,https://maps.app.goo.gl/ZgR84eTWjqomk4JE6,22,AM?,Fall 2025,"Spotted but not confirmed. out of view, ample parking, access to highway",40.86922277,-73.93172103
2,Highbridge Park BMX Track,Hypothetical,https://maps.app.goo.gl/GnKy37B7AXXetSGDA,15,Unkown,NA,"Hypothetical, no evidence",40.85827584,-73.92560226
3,202nd & 9th,Hypothetical,https://maps.app.goo.gl/qZUMM8rKRJnAUnr17,20,,,"Hypothetical, no evidence",40.860261,-73.918679
4,203rd & 9th,Hypothetical ,https://maps.app.goo.gl/11CK6Zeg5r5dZyCg8,20,,,"Hypothetical, no evidence",40.860996,-73.918528
5,201st & 9th,Hypothetical,https://maps.app.goo.gl/Z72WARY4KiNe7Mj4A,20,,,"Hypothetical, no evidence",40.85962,-73.919119
6,158st Riverside Park entrance,Hypothetical,https://maps.app.goo.gl/sAry3KVg3aMKeuaZ8,3,,,"out of view, ample parking, access to highway",40.836435,-73.948832
7,Harlem Riv Driveway onramp,Hypothetical,https://maps.app.goo.gl/bkRt3E4yWGrWA8JGA,1,,,"out of view, ample parking, access to highway",40.83233,-73.939034
8,Bonnefont Parking,Confirmed,https://maps.app.goo.gl/LBzRC8phtwgwcCUo9,18,,,"Spotted parked vehicle with HSI on dashboard but no agents.  out of view, ample parking, access to highway",40.860728,-73.932302
9,Top of the island,Hypothetical,https://maps.app.goo.gl/PzPSQgxEEpineKxc9,25,,,"out of view, near many parking lots",40.872475,-73.911332
10,Riverside Drive Cemetery,Hypothetical,https://maps.app.goo.gl/WFbz8exoqoNrjd369,3,,,"out of view, ample parking, access to riverside dr",40.834094,-73.948463
11,Haven Ave Roundabout,Confirmed,https://maps.app.goo.gl/McfW28yVeSmVo9oE7,13,330pm,26-May,"Spotted 3 vehicles parked by tree and on the sidewalk, left after spotted",40.850837,-73.941561
12,Entrance to Inwood Hil,Confirmed,https://maps.app.goo.gl/9XCFHkHgTJtT8YtGA,20,morning,7/29/2026,Confirmed ICE vehicle Grey Voyager Minivan NY JNL5457,40.869954,-73.920902
13,Van Cortlandt Stables Parking Lot,Confirmed,https://maps.app.goo.gl/ZAD8Dz7aY6NCRUAd8,the Bronx,12:45pm,7/30/2026,"3 vehicles, 4 agents, one known to be used in abduction",40.90207396,-73.89467504
14,Van Cortlandt Park Golf Course Parking Lot,Confirmed,https://maps.app.goo.gl/fd6nMZmWfJ8AKCke9,the Bronx,AM,7/27/2026,"multiple known vehicles, parked at back end of lot",40.887902,-73.894664
15,Target Parking Lot,Confirmed,https://maps.app.goo.gl/irVpsXh7KMk8WkHa9,the Bronx,AM,multiple days June/July 2026,multiple vehicles,40.87302704,-73.9080984
