Date of Incident,Time,Week Day,Borough,Neighborhood,Address,# kidnapped,# agents,Source,Notes,Date of Input,Latitude,Longitude
6/4/2025,4:14 PM,Wednesday,Bronx ,Morris Heights,,,N/A,stopice.net,,12/15/2025,40.85394,-73.91443
6/5/2025,9:15 AM,Thursday,Manhattan,East Harlem,"5 E 107th St, New York, NY 10029",,at least 1 ,stopice.net,ice spotted outside the building. unclear weather anyone has been apprehended yet,12/15/2025,40.79467,-73.95064
6/17/2025,7:30 AM,Tuesday,Manhattan,East Harlem,E110th st and 2nd ave,,,Link not available,,12/9/2025,40.793142,-73.940609
6/19/2025,12:00 PM,Thursday,Manhattan,Harlem,"257 W 116 ST, NEW YORK, NY 10026",,2 plus,https://stopice.net/login/?alert=1750348744949,hsi agents sitting in idling vehicles. second day in a row. a silver chevy and a black ford explorer.,,40.80439551,-73.95492899
7/23/2025,9:50 PM,Wednesday,Manhattan,Washington Heights,W184th st & Audubon Ave,,,Link not available,,12/9/2025,40.850478,-73.931043
9/9/2025,,Tuesday,Manhattan,Washington Heights,111 Wadsworth,,4,@nycicewatch,,11/29/2025,40.8482234,-73.93603917
10/6/2025,Morning,Monday,Bronx,Concourse,Walton Ave and E168th St,5,,Link not available,,12/9/2025,40.836446,-73.918424
10/6/2025,9:56 AM,Monday,Manhattan,Harlem,"BROADWAY, NEW YORK NY 10027 125TH",,,https://www.stopice.net/login/?alert=1759769619745,,,40.813158,-73.954982
10/8/2025,4:22 PM,Wednesday,Manhattan,Washington Heights,W184th St and Audubon Ave,1,,Link not available,,12/9/2025,40.85044,-73.931046
10/9/2025,8:00 AM,Thursday,Bronx,Mott Haven,E 134th St & Brook Ave,,,@nycicewatch,,12/1/2025,40.805025,-73.921094
10/14/2025,7:15 AM,Tuesday,Bronx,Mott Haven,137th between Cypress and St Ann's Ave,2,,Link not available,,11/29/2025,40.8055,-73.916406
10/17/2025,7:45 AM,Friday,Bronx,South Bronx, E149th St btw 3rd and Brook ave,,4,Link not available,,12/9/2025,40.815274,-73.915667
10/18/2025,7:00 AM,Saturday,Bronx,South Bronx, E149th St btw 3rd and Brook ave,1,,Link not available,,12/9/2025,40.815274,-73.915667
11/12/2025,7:55 AM,Wednesday,Manhattan,Washington Heights,157th St & Broadway,1,4,Link not available,,12/9/2025,40.834048,-73.94477
11/18/2025,5:40 PM,Tuesday,Manhattan,East Harlem,110th and 2nd avenue,,4,Link not available,,12/9/2025,40.793143,-73.940454
12/9/2025,5:43 PM,Tuesday,Manhattan,Washington Heights,W170th st & Fort Washington ,,6,Link not available,,12/15/2025,40.843429,-73.94167
12/20/2025,6:20 PM,Saturday,Manhattan,East Harlem,110th & 2nd Ave,1,,Link not available,,12/22/2025,40.793139,-73.940448
1/12/2026,7:37 AM,Monday,Manhattan,Inwood,"117 Sherman Ave, New York, NY 10034",,20,Link not available,,1/12/2026,40.86407,-73.924647
1/20/2026,4:00 PM,Tuesday,Manhattan,Inwood,Arden st btw Sherman ave and Nagle ave,,,,,1/12/2026,40.862061,-73.927217
2/24/2026,5:45pm,Tuesday,Bronx,Highbridge,1098 University Ave,0,3,Link not available,,2/22/2026,40.835842,-73.929481
